FUBO
CANO
OPEN
APPH
WE
APRN
RDW
GNS
TTCF
MVIS
TLRY
WKHS
BKKT
TELL
FAZE
BZFD
NEGG
RIDE
ATER
GSAT
FFIE
SNDL
SDC
NKLA
SKLZ
INO
NRGV
BBIG
ACB
GOEV
SOLO
CLOV
WISH
OCGN
MMAT
PHUN
MULN
IMPP
ATVI
ACGN
APRE
AVCTQ
CNET
COMS
DGLY
GNUS
HYRE
IVCRQ
JAGX
LMNL
MTCR
PHIO
REED
SWVL
TCDAQ
VYNE
WISA
ZNHYY
SUMO
OSH
NYC
AYTU
IMCC
IRON
KA
NH
PTPI
QLGN
RENN
RRR
SECO
SMFR
STR
TISI
TTM
TUEM
UPH
XIN
ALBO
PAYA
DCT
MAXR
CINC
ATNF
DSHK
EBON
EQOSQ
FNHCQ
FUV
GOCO
GROM
HALL
HOFV
ANTE
CLVSQ
COUP
ABMD
ANPC
FNHC
ERNA
ENSC
CYTO
VINO
KERN
WEBR
ONCS
QTNT
LAUR
KALA
SLDB
VS
CEI
STVN
STEL
SRGA
PBT
OZON
ORAN
NRT
TTE
ORAN
NRBO
NMTR
NEPT
NERV
NBRV
MTL
MSB
LSTA
MVO
OZON
BQ
AGFY
CRTD
BATRK
SNY
SLNO
SJT
PVL
PTRCY
PTE
PIXY
PEI
PETZ
SYRS
TEF
REUN
SAN
SOS
AVEO
BEP
BHM
BBU
BBVA
BATRA
BIP
BPT
CALA
LSXMA
LSXMK
LFCHY
LEJU
KLDO
JPPYY
IMNN
DMLP
DBVT
CRTO
CLLS
CLR
ACHHY
ABEO
ADTX
AEZS
AFIIQ
AGRX
AMPE
AVCT
UA
QIWI
QNGY
GNLN
GNCA
GRFS
GCT
GEHI
FWONA
FWONK
FTAI
EVOK
EVFM
ERYP
ENVB
EFXT
E
EDAP
HIPO
LFG
UTSI
TURN
TTOO
YNDX
WMC
ACI
FORG
KNBE
POSH
VEON
FORG
KNBE
POSH
FORG
KNBE
POSH
TWTR
TRQ
SNOW
IRBT
GOOGL
USAK
TEN
RFP
ZEN
PLAN
ACC
TPTX
TXMD
BHVN
VMW
DWAC
DIDI
SWCH
Y
SIMO
PLAN
LHCG
SAIL
POLY
BKI
ASML
CSTM
GGPI
RACE
CCXI
PING
COWN
NLSN
GBT
AAWW
ROOT
FMTX
SGFY
SRG
ONEM
AERI
SWIR
